PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=811 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=821 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=823 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=833 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=835 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=842 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=832 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=842 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=836 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=856 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=853 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=875 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=879 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=875 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=871 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=876 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=896 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=893 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=905 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=901 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=903 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=901 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=911 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=921 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=948 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=942 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=1042 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=1022 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=1049 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=1044 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=1039 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=1043 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=1048 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=1052 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=1040 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=1111 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=1118 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=1110 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=1138 ms
