PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=247 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=256 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=303 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=293 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=283 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=278 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=243 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=256 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=247 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=218 ms
